"Fiscal Year","Grant Recipient","Average Benefits per Household - Heating","Average Benefits per Household - Cooling","Average Benefits per Household - Winter Crisis","Average Benefits per Household - Year Round Crisis","Average Benefits per Household - Summer Crisis","Average Benefits per Household - Other Crisis","State Income-Eligible Households - Total","State Income-Eligible Households - <100% Poverty","State Income-Eligible Households - 101%-125% Poverty","State Income-Eligible Households - 126%-150% Poverty","State Income-Eligible Households - >150% Poverty","State Income-Eligible Households - Member 60 or Over","State Income-Eligible Households - Member with a Disability","State Income-Eligible Households - Child 5 and Under","State Income-Eligible Households - No Vulnerable Member","State Maximum Income for a 4-Person Household - Heating","State Maximum Income for a 4-Person Household - Cooling","State Maximum Income for a 4-Person Household - Winter Crisis","State Maximum Income for a 4-Person Household - Year Round Crisis","State Maximum Income for a 4-Person Household - Summer Crisis","State Maximum Income for a 4-Person Household - Other Crisis","State Maximum Income for a 4-Person Household - Weatherization"
"2010","California","$286","$0","$0","$419","$0","$1,340","4,694,568","1,402,150","562,671","540,356","2,189,391","1,618,281","1,440,655","1,061,574","1,621,320","$57,291","N/A","$57,291","$57,291","N/A","$57,291","$57,291"
"2011","California","$277","$0","$0","$424","$0","$1,538","3,971,409","1,456,611","578,644","563,850","1,372,304","1,364,748","1,268,456","914,246","1,324,037","$57,291","N/A","$57,291","$57,291","N/A","$57,291","$57,291"
"2012","California","$314","$0","$0","$414","$0","$1,860","3,971,409","1,456,611","578,644","563,850","1,372,304","1,364,748","1,268,456","914,246","1,324,037","$47,822","N/A","$47,822","$47,822","N/A","$47,822","$47,822"
"2013","California","$306","$0","$0","$459","$0","$2,192","3,977,333","1,578,894","581,175","572,866","1,244,398","1,378,987","1,291,041","898,369","1,326,992","$46,738","N/A","N/A","$46,738","N/A","$46,738","$46,738"
"2014","California","$312","$0","$0","$443","$0","$1,742","3,961,140","1,664,230","595,599","582,518","1,118,793","1,389,415","1,312,719","873,560","1,315,937","$46,607","N/A","N/A","$46,607","N/A","$46,607","$46,607"
"2015","California","$318","$0","$0","$480","$0","$2,020","3,879,141","1,666,243","592,131","567,901","1,052,866","1,399,459","1,302,167","834,884","1,272,639","$46,082","N/A","N/A","$46,082","N/A","$46,082","$46,082"
"2016","California","$331","$0","$0","$499","$0","$2,156","3,771,178","1,661,123","593,944","568,578","947,533","1,391,753","1,279,938","789,525","1,221,893","$46,264","N/A","N/A","$46,264","N/A","$46,264","$46,264"
"2017","California","$311","$0","$0","$468","$0","$2,207","3,712,296","1,631,088","579,126","563,943","938,139","1,374,263","1,260,009","785,621","1,197,899","$48,275","N/A","N/A","$48,275","N/A","$48,275","$48,275"
"2018","California","$322","$0","$0","$505","$0","$581","3,706,003","1,563,008","561,048","544,305","1,037,642","1,418,617","1,262,236","753,940","1,186,532","$48,415","N/A","N/A","$48,415","N/A","$48,415","$48,415"
"2019","California","$329","$315","$0","$541","$0","$2,262","3,511,986","1,490,994","533,494","529,812","957,686","1,390,373","1,201,169","692,248","1,106,798","$50,094","$50,094","N/A","$50,094","N/A","$50,094","$50,094"
"2020","California","$340","$322","$0","$577","$0","$2,554","3,437,616","1,447,238","518,193","499,076","973,109","1,411,766","1,180,316","650,824","1,068,379","$53,006","$53,006","N/A","$53,006","N/A","$53,006","$53,006"
"2021","California","$402","$399","$0","$736","$0","$3,033","3,488,206","1,405,582","506,700","480,800","1,095,124","1,490,068","1,204,253","635,987","1,067,740","$56,102","$56,102","N/A","$56,102","N/A","$56,102","$56,102"
"2022","California","$446","$434","$0","$863","$0","$3,336","3,453,435","1,331,022","463,536","455,179","1,203,698","1,496,053","1,192,015","602,676","1,061,620","$59,186","$59,186","N/A","$59,186","N/A","$59,186","$59,186"
"2023*","California","$460","$440","$0","$1,183","$0","$3,711","3,311,260","1,276,739","433,314","436,346","1,164,861","1,478,365","1,163,037","553,956","998,376","$62,313","$62,313","N/A","$62,313","N/A","$62,313","$62,313"
"2024*","California","$513","$506","$0","$1,145","$0","$4,002","3,333,726","1,348,941","444,068","442,098","1,098,619","1,519,487","1,186,752","535,253","995,796","$66,527","$66,527","N/A","$66,527","N/A","$66,527","$66,527"

Source: LIHEAP Performance Measurement Web Site(https://liheappm.acf.hhs.gov)
