zcta,median_household_income,housing_age
601,19454,47
602,21420,48
603,20933,44
606,20992,46
610,24496,48
611,20360,41
612,24488,49
616,21846,47
617,25013,40
622,26585,35
623,26388,40
624,22979,43
627,27411,40
631,19278,49
637,21987,43
638,22610,41
641,21102,42
646,36265,42
647,20023,44
650,21447,38
652,35383,37
653,16736,46
656,24065,50
659,27513,37
660,26851,48
662,23299,44
664,21767,42
667,19534,44
669,18778,42
670,16367,44
674,22537,51
676,23272,39
677,24266,47
678,23874,41
680,17896,58
682,18793,57
683,18543,48
685,20310,43
687,25003,39
688,18023,41
690,25755,29
692,25568,40
693,24596,47
694,16094,49
698,24310,45
703,23292,45
704,20899,40
705,21712,45
707,17750,41
714,21186,49
715,22670,46
716,20652,51
717,13602,56
718,23487,40
719,22129,45
720,20151,44
723,24574,39
725,29575,48
727,34094,43
728,23031,48
729,31239,42
730,18089,52
731,18736,42
735,25243,39
736,29971,44
738,25531,46
739,29463,35
740,26027,47
741,26585,50
745,29268,42
751,21952,45
754,22964,41
757,25938,37
765,19803,39
766,26234,40
767,23054,42
769,21829,41
771,24891,35
772,18945,38
773,24225,47
775,29630,30
777,29928,36
778,42178,34
780,27967,32
782,16896,46
783,23914,47
784,20558,47
791,27034,42
794,23899,42
795,24602,40
901,27557,69
907,41615,55
909,23101,44
911,42382,55
912,31636,64
913,7049,74
915,16590,69
917,19357,60
918,39287,55
920,30259,72
921,23598,65
923,20349,61
924,25724,58
925,17404,76
926,40606,48
927,38728,59
949,34563,49
951,22669,70
952,22288,53
953,36099,35
956,29280,54
957,29913,53
959,31572,56
961,39393,51
962,21288,52
965,19136,56
966,60203,50
968,58869,49
969,61101,44
971,29526,40
976,39901,46
979,40049,53
982,28906,61
983,35638,60
985,33863,59
987,43159,39
1001,75342,57
1002,70818,51
1005,111148,55
1007,108125,42
1008,97554,55
1009,72841,88
1010,111250,38
1011,89299,73
1012,83333,55
1013,59759,73
1020,66009,64
1022,51373,67
1026,92250,79
1027,74146,60
1028,106424,60
1029,107679,60
1030,93815,55
1031,60517,88
1032,97500,75
1033,119297,60
1034,91016,51
1035,119259,55
1036,104536,60
1037,74722,45
1038,106635,64
1039,116429,56
1040,53605,76
1050,95882,63
1053,92582,53
1054,104688,53
1056,84838,62
1057,98508,55
1060,76848,84
1062,87588,64
1063,91344,88
1068,102000,47
1069,80190,57
1070,60536,59
1071,111042,58
1072,111667,46
1073,123125,43
1074,79583,54
1075,93910,65
1077,120462,48
1079,70588,82
1080,89063,71
1081,86979,43
