city,state,latitude,longitude
Adelanto,California,34.5828,-117.4092
Agoura Hills,California,34.1533,-118.7617
Alameda,California,37.7652,-122.2416
Albany,California,37.8869,-122.2977
Alhambra,California,34.0953,-118.1270
Aliso Viejo,California,33.5685,-117.7263
Alturas,California,41.4871,-120.5422
American Canyon,California,38.1749,-122.2608
Anaheim,California,33.8366,-117.9143
Anderson,California,40.4482,-122.2975
Angels,California,38.0677,-120.5391
Antioch,California,38.0049,-121.8058
Apple Valley,California,34.5008,-117.1859
Arcadia,California,34.1397,-118.0353
Arcata,California,40.8665,-124.0828
Arroyo Grande,California,35.1186,-120.5907
Artesia,California,33.8658,-118.0831
Arvin,California,35.2091,-118.8284
Atascadero,California,35.4894,-120.6707
Atherton,California,37.4613,-122.1977
Atwater,California,37.3477,-120.6091
Auburn,California,38.8966,-121.0769
Avalon,California,33.3428,-118.3282
Avenal,California,36.0041,-120.1290
Azusa,California,34.1336,-117.9076
Bakersfield,California,35.3733,-119.0187
Baldwin Park,California,34.0853,-117.9609
Banning,California,33.9256,-116.8764
Barstow,California,34.8958,-117.0173
Beaumont,California,33.9295,-116.9772
Bell,California,33.9833,-118.1881
Bellflower,California,33.8817,-118.1170
Bell Gardens,California,33.9653,-118.1515
Belmont,California,37.5202,-122.2758
Benicia,California,38.0494,-122.1586
Berkeley,California,37.8715,-122.2730
Beverly Hills,California,34.0736,-118.4004
Big Bear Lake,California,34.2439,-116.9114
Bishop,California,37.3635,-118.3951
Blythe,California,33.6103,-114.5964
Brawley,California,32.9787,-115.5303
Brea,California,33.9167,-117.9001
Brentwood,California,37.9319,-121.6958
Brisbane,California,37.6808,-122.3999
Buellton,California,34.6141,-120.1927
Buena Park,California,33.8675,-117.9981
Burbank,California,34.1808,-118.3090
Burlingame,California,37.5779,-122.3481
Calabasas,California,34.1383,-118.6608
