city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label,avg_temp_forecast,max_temp_forecast,min_temp_forecast
Adelanto,California,4.0,78858.0,3215.0,1,59.07142857142857,83,38
Agoura Hills,California,2.0,256846.0,4563.0,0,63.07142857142857,83,46
Alameda,California,1.0,172637.0,1522.0,0,62.5,80,49
Albany,California,1.0,186562.0,1997.0,0,62.57142857142857,79,50
Alhambra,California,2.0,110962.0,1900.0,0,66.5,87,51
Aliso Viejo,California,1.0,186033.0,2246.0,0,64.92857142857143,81,51
Alturas,California,4.0,60275.0,2684.0,1,44.857142857142854,74,18
American Canyon,California,2.0,168561.0,3146.0,0,60.285714285714285,79,45
Anaheim,California,1.0,120260.0,1657.0,0,67.71428571428571,86,53
Anderson,California,4.0,72223.0,2741.0,1,60.714285714285715,84,40
Angels,California,4.0,88070.0,3178.0,1,59.0,78,41
Antioch,California,2.0,121232.0,2880.0,0,63.42857142857143,82,49
Apple Valley,California,4.0,89213.0,3271.0,1,59.57142857142857,83,39
Arcadia,California,2.0,150491.0,2439.0,0,66.85714285714286,87,50
Arcata,California,3.0,63642.0,2068.0,1,52.142857142857146,68,36
Arroyo Grande,California,1.0,120932.0,1657.0,0,62.5,78,48
Artesia,California,2.0,110973.0,2157.0,0,67.64285714285714,86,54
Arvin,California,5.0,54244.0,2463.0,1,63.642857142857146,85,42
Atascadero,California,2.0,125855.0,2307.0,0,58.785714285714285,81,39
Atherton,California,1.0,443675.0,5054.0,0,61.714285714285715,81,46
Atwater,California,3.0,84919.0,2455.0,1,62.357142857142854,84,42
Auburn,California,3.0,107661.0,2879.0,1,58.357142857142854,78,41
Avalon,California,2.0,113095.0,2349.0,0,63.857142857142854,73,55
Avenal,California,5.0,57917.0,2723.0,1,64.42857142857143,85,45
Azusa,California,2.0,103795.0,1787.0,0,67.71428571428571,87,51
Bakersfield,California,3.0,99042.0,2823.0,1,65.28571428571429,86,45
Baldwin Park,California,2.0,94937.0,2343.0,0,67.57142857142857,88,51
Banning,California,3.0,79080.0,2752.0,1,64.21428571428571,84,48
Barstow,California,4.0,68709.0,2776.0,1,64.92857142857143,87,46
Beaumont,California,3.0,101139.0,2615.0,1,62.5,82,46
Bell,California,2.0,71861.0,1564.0,0,68.35714285714286,86,54
Bellflower,California,2.0,92255.0,1897.0,0,67.92857142857143,86,54
Bell Gardens,California,2.0,67671.0,1550.0,0,68.42857142857143,87,54
Belmont,California,1.0,316327.0,2883.0,0,61.857142857142854,80,47
Benicia,California,2.0,145986.0,2605.0,0,62.42857142857143,81,48
Berkeley,California,1.0,166516.0,1939.0,0,62.42857142857143,80,49
Beverly Hills,California,2.0,216447.0,3440.0,0,67.21428571428571,84,54
Big Bear Lake,California,3.0,104982.0,2657.0,1,44.714285714285715,68,26
Bishop,California,4.0,82927.0,3028.0,1,53.642857142857146,78,29
Blythe,California,4.0,72849.0,2866.0,1,73.5,95,52
Brawley,California,3.0,83631.0,2388.0,1,75.64285714285714,96,57
Brea,California,2.0,145490.0,2400.0,0,67.64285714285714,87,52
Brentwood,California,2.0,162090.0,3126.0,0,63.142857142857146,82,49
Brisbane,California,1.0,218771.0,2348.0,0,60.5,73,52
Buellton,California,1.0,141790.0,1918.0,0,60.857142857142854,83,40
Buena Park,California,2.0,131313.0,2050.0,0,67.35714285714286,87,52
Burbank,California,1.0,127869.0,1568.0,0,68.07142857142857,88,51
Burbank,California,1.0,160298.0,2204.0,0,68.07142857142857,88,51
Burbank,California,1.0,127869.0,1568.0,0,68.07142857142857,88,51
Burbank,California,1.0,160298.0,2204.0,0,68.07142857142857,88,51
Burlingame,California,1.0,294294.0,3164.0,0,61.785714285714285,80,48
Calabasas,California,2.0,243113.0,4290.0,0,64.35714285714286,83,49
