city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label,avg_temp_forecast,max_temp_forecast,min_temp_forecast,avg_electricity_price
Adelanto,California,4.0,78858.0,3215.0,0,59.07142857142857,83,38,0.28
Agoura Hills,California,2.0,256846.0,4563.0,0,63.07142857142857,83,46,0.28
Alameda,California,1.0,172637.0,1522.0,0,62.5,80,49,0.28
Albany,California,1.0,186562.0,1997.0,0,62.5,80,50,0.28
Alhambra,California,2.0,110962.0,1900.0,0,66.5,87,51,0.28
Aliso Viejo,California,1.0,186033.0,2246.0,0,65.07142857142857,81,52,0.28
Alturas,California,4.0,60275.0,2684.0,0,44.857142857142854,74,18,0.28
American Canyon,California,2.0,168561.0,3146.0,0,60.285714285714285,79,45,0.28
Anaheim,California,1.0,120260.0,1657.0,0,67.78571428571429,85,53,0.28
Anderson,California,4.0,72223.0,2741.0,0,60.714285714285715,84,40,0.28
