city,state,avg_temp_forecast,max_temp_forecast,min_temp_forecast
Adelanto,California,59.07142857142857,83,38
Agoura Hills,California,63.07142857142857,83,46
Alameda,California,62.5,80,49
Albany,California,62.57142857142857,79,50
Alhambra,California,66.5,87,51
Aliso Viejo,California,64.92857142857143,81,51
Alturas,California,44.857142857142854,74,18
American Canyon,California,60.285714285714285,79,45
Anaheim,California,67.71428571428571,86,53
Anderson,California,60.714285714285715,84,40
Angels,California,59.0,78,41
Antioch,California,63.42857142857143,82,49
Apple Valley,California,59.57142857142857,83,39
Arcadia,California,66.85714285714286,87,50
Arcata,California,52.142857142857146,68,36
Arroyo Grande,California,62.5,78,48
Artesia,California,67.64285714285714,86,54
Arvin,California,63.642857142857146,85,42
Atascadero,California,58.785714285714285,81,39
Atherton,California,61.714285714285715,81,46
Atwater,California,62.357142857142854,84,42
Auburn,California,58.357142857142854,78,41
Avalon,California,63.857142857142854,73,55
Avenal,California,64.42857142857143,85,45
Azusa,California,67.71428571428571,87,51
Bakersfield,California,65.28571428571429,86,45
Baldwin Park,California,67.57142857142857,88,51
Banning,California,64.21428571428571,84,48
Barstow,California,64.92857142857143,87,46
Beaumont,California,62.5,82,46
Bell,California,68.35714285714286,86,54
Bellflower,California,67.92857142857143,86,54
Bell Gardens,California,68.42857142857143,87,54
Belmont,California,61.857142857142854,80,47
Benicia,California,62.42857142857143,81,48
Berkeley,California,62.42857142857143,80,49
Beverly Hills,California,67.21428571428571,84,54
Big Bear Lake,California,44.714285714285715,68,26
Bishop,California,53.642857142857146,78,29
Blythe,California,73.5,95,52
Brawley,California,75.64285714285714,96,57
Brea,California,67.64285714285714,87,52
Brentwood,California,63.142857142857146,82,49
Brisbane,California,60.5,73,52
Buellton,California,60.857142857142854,83,40
Buena Park,California,67.35714285714286,87,52
Burbank,California,68.07142857142857,88,51
Burlingame,California,61.785714285714285,80,48
Calabasas,California,64.35714285714286,83,49
