geography_id,name,state,energy_burden,avg_annual_energy_cost,household_income,risk_label
600296,Adelanto,California,4.0,3215.0,78858.0,1
600394,Agoura Hills,California,2.0,4563.0,256846.0,0
600562,Alameda,California,1.0,1522.0,172637.0,0
600674,Albany,California,1.0,1997.0,186562.0,0
600884,Alhambra,California,2.0,1900.0,110962.0,0
600947,Aliso Viejo,California,1.0,2246.0,186033.0,0
601444,Alturas,California,4.0,2684.0,60275.0,1
601640,American Canyon,California,2.0,3146.0,168561.0,0
602000,Anaheim,California,1.0,1657.0,120260.0,0
602042,Anderson,California,4.0,2741.0,72223.0,1
602112,Angels,California,4.0,3178.0,88070.0,1
602252,Antioch,California,2.0,2880.0,121232.0,0
602364,Apple Valley,California,4.0,3271.0,89213.0,1
602462,Arcadia,California,2.0,2439.0,150491.0,0
602476,Arcata,California,3.0,2068.0,63642.0,1
602868,Arroyo Grande,California,1.0,1657.0,120932.0,0
602896,Artesia,California,2.0,2157.0,110973.0,0
602924,Arvin,California,5.0,2463.0,54244.0,1
603064,Atascadero,California,2.0,2307.0,125855.0,0
603092,Atherton,California,1.0,5054.0,443675.0,0
603162,Atwater,California,3.0,2455.0,84919.0,1
603204,Auburn,California,3.0,2879.0,107661.0,1
603274,Avalon,California,2.0,2349.0,113095.0,0
603302,Avenal,California,5.0,2723.0,57917.0,1
603386,Azusa,California,2.0,1787.0,103795.0,0
603526,Bakersfield,California,3.0,2823.0,99042.0,1
603666,Baldwin Park,California,2.0,2343.0,94937.0,0
603820,Banning,California,3.0,2752.0,79080.0,1
604030,Barstow,California,4.0,2776.0,68709.0,1
604758,Beaumont,California,3.0,2615.0,101139.0,1
604870,Bell,California,2.0,1564.0,71861.0,0
604982,Bellflower,California,2.0,1897.0,92255.0,0
604996,Bell Gardens,California,2.0,1550.0,67671.0,0
605108,Belmont,California,1.0,2883.0,316327.0,0
605290,Benicia,California,2.0,2605.0,145986.0,0
606000,Berkeley,California,1.0,1939.0,166516.0,0
606308,Beverly Hills,California,2.0,3440.0,216447.0,0
606434,Big Bear Lake,California,3.0,2657.0,104982.0,1
606798,Bishop,California,4.0,3028.0,82927.0,1
607218,Blythe,California,4.0,2866.0,72849.0,1
608058,Brawley,California,3.0,2388.0,83631.0,1
