city,top_feature_1,top_feature_1_value,top_feature_2,top_feature_2_value,top_feature_3,top_feature_3_value,query,retrieved_programs,recommendation
Adelanto,household_income,0.3005651465831969,min_temp_forecast,0.187344585455111,avg_annual_energy_cost,0.0773176613626854,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Adelanto, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Agoura Hills,household_income,-0.2752001618987538,min_temp_forecast,0.0276450467113252,avg_temp_forecast,-0.0240326953412623,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Agoura Hills, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Alameda,household_income,-0.1802610530184084,avg_annual_energy_cost,-0.0750308299061192,min_temp_forecast,-0.0631997574563381,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Alameda, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Albany,household_income,-0.1801435934128492,min_temp_forecast,-0.0777206943178455,avg_annual_energy_cost,-0.0605188294207357,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Albany, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Alhambra,min_temp_forecast,-0.1084951546512929,avg_annual_energy_cost,-0.10249710596861,household_income,-0.0907055158216079,"Programs for unusual overnight temperatures, high annual energy cost, low household income",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Alhambra, the most influential SHAP factors include unusual overnight temperatures, high annual energy cost, low household income. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Aliso Viejo,household_income,-0.1887652330725323,min_temp_forecast,-0.0800501126334678,avg_annual_energy_cost,-0.0554991932949123,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Aliso Viejo, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Alturas,household_income,0.2835560453609123,min_temp_forecast,0.1874624819759153,avg_annual_energy_cost,0.1112395820518735,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Alturas, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
American Canyon,household_income,-0.2890778556878563,min_temp_forecast,0.078247064329572,avg_temp_forecast,-0.0338559440104397,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For American Canyon, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Anaheim,household_income,-0.1203165709358281,min_temp_forecast,-0.0954119427025404,avg_annual_energy_cost,-0.0899166309563904,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Anaheim, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Anderson,household_income,0.3117278412379927,min_temp_forecast,0.1779110158110264,avg_annual_energy_cost,0.142462757278851,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Anderson, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Angels,household_income,0.2702952298570302,min_temp_forecast,0.2129348649761597,avg_temp_forecast,0.0768898275480648,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Angels, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Antioch,household_income,-0.208590769183588,min_temp_forecast,-0.0905366056139989,avg_annual_energy_cost,0.0677823069104284,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Antioch, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Apple Valley,household_income,0.2700107520663025,min_temp_forecast,0.2141442989360744,avg_annual_energy_cost,0.079036761013035,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Apple Valley, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Arcadia,household_income,-0.203277280589072,min_temp_forecast,-0.0953970561369524,avg_temp_forecast,-0.0393964429753674,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Arcadia, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Arcata,household_income,0.2578422739141068,min_temp_forecast,0.1912460580269488,avg_annual_energy_cost,-0.1100321775774908,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Arcata, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Arroyo Grande,household_income,-0.1532803418139653,avg_annual_energy_cost,-0.0842006714056708,min_temp_forecast,-0.0516120209978985,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Arroyo Grande, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
