location,period_name,startTime,endTime,temperature,temperature_unit,condition
90011,Tonight,2026-03-29T21:00:00-07:00,2026-03-30T06:00:00-07:00,58,F,Patchy Fog
90011,Monday,2026-03-30T06:00:00-07:00,2026-03-30T18:00:00-07:00,76,F,Patchy Fog then Mostly Sunny
90011,Monday Night,2026-03-30T18:00:00-07:00,2026-03-31T06:00:00-07:00,59,F,Patchy Fog
90011,Tuesday,2026-03-31T06:00:00-07:00,2026-03-31T18:00:00-07:00,74,F,Patchy Fog then Slight Chance Light Rain
90011,Tuesday Night,2026-03-31T18:00:00-07:00,2026-04-01T06:00:00-07:00,58,F,Slight Chance Light Rain
90011,Wednesday,2026-04-01T06:00:00-07:00,2026-04-01T18:00:00-07:00,74,F,Mostly Sunny
90011,Wednesday Night,2026-04-01T18:00:00-07:00,2026-04-02T06:00:00-07:00,57,F,Partly Cloudy
90011,Thursday,2026-04-02T06:00:00-07:00,2026-04-02T18:00:00-07:00,72,F,Mostly Sunny
90011,Thursday Night,2026-04-02T18:00:00-07:00,2026-04-03T06:00:00-07:00,54,F,Partly Cloudy
90011,Friday,2026-04-03T06:00:00-07:00,2026-04-03T18:00:00-07:00,75,F,Mostly Sunny
90011,Friday Night,2026-04-03T18:00:00-07:00,2026-04-04T06:00:00-07:00,55,F,Mostly Clear
90011,Saturday,2026-04-04T06:00:00-07:00,2026-04-04T18:00:00-07:00,80,F,Sunny
90011,Saturday Night,2026-04-04T18:00:00-07:00,2026-04-05T06:00:00-07:00,57,F,Mostly Clear
90011,Sunday,2026-04-05T06:00:00-07:00,2026-04-05T18:00:00-07:00,84,F,Sunny
