zcta,median_household_income,median_year_built
00601,19454,1979
00602,21420,1978
00603,20933,1982
00606,20992,1980
00610,24496,1978
00611,20360,1985
00612,24488,1977
00616,21846,1979
00617,25013,1986
00622,26585,1991
00623,26388,1986
00624,22979,1983
00627,27411,1986
00631,19278,1977
00636,-666666666,1966
00637,21987,1983
00638,22610,1985
00641,21102,1984
00646,36265,1984
00647,20023,1982
00650,21447,1988
00652,35383,1989
00653,16736,1980
00656,24065,1976
00659,27513,1989
00660,26851,1978
00662,23299,1982
00664,21767,1984
00667,19534,1982
00669,18778,1984
00670,16367,1982
00674,22537,1975
00676,23272,1987
00677,24266,1979
00678,23874,1985
00680,17896,1968
00682,18793,1969
00683,18543,1978
00685,20310,1983
00687,25003,1987
00688,18023,1985
00690,25755,1997
00692,25568,1986
00693,24596,1979
00694,16094,1977
00698,24310,1981
00703,23292,1981
00704,20899,1986
00705,21712,1981
00707,17750,1985
00714,21186,1977
00715,22670,1980
00716,20652,1975
00717,13602,1970
00718,23487,1986
00719,22129,1981
00720,20151,1982
00723,24574,1987
00725,29575,1978
00727,34094,1983
00728,23031,1978
00729,31239,1984
00730,18089,1974
00731,18736,1984
00735,25243,1987
00736,29971,1982
00738,25531,1980
00739,29463,1991
00740,26027,1979
00741,26585,1976
00745,29268,1984
00751,21952,1981
00754,22964,1985
00757,25938,1989
00765,19803,1987
00766,26234,1986
00767,23054,1984
00769,21829,1985
00771,24891,1991
00772,18945,1988
00773,24225,1979
00775,29630,1996
00777,29928,1990
00778,42178,1992
00780,27967,1994
00782,16896,1980
00783,23914,1979
00784,20558,1979
00786,-666666666,1979
00791,27034,1984
00794,23899,1984
00795,24602,1986
00901,27557,1957
00906,-666666666,2004
00907,41615,1971
00909,23101,1982
00911,42382,1971
00912,31636,1962
00913,7049,1952
00915,16590,1957
00917,19357,1966
00918,39287,1971
00920,30259,1954
00921,23598,1961
00923,20349,1965
00924,25724,1968
00925,17404,1950
00926,40606,1978
00927,38728,1967
00934,-666666666,-666666666
00949,34563,1977
00950,-666666666,-666666666
00951,22669,1956
00952,22288,1973
00953,36099,1991
00956,29280,1972
00957,29913,1973
00959,31572,1970
00960,-666666666,-666666666
00961,39393,1975
00962,21288,1974
00965,19136,1970
00966,60203,1976
00968,58869,1977
00969,61101,1982
00971,29526,1986
00976,39901,1980
00979,40049,1973
00982,28906,1965
00983,35638,1966
00985,33863,1967
00987,43159,1987
01001,75342,1969
01002,70818,1975
01003,-666666666,1976
01005,111148,1971
01007,108125,1984
01008,97554,1971
01009,72841,1938
01010,111250,1988
01011,89299,1953
01012,83333,1971
01013,59759,1953
01020,66009,1962
01022,51373,1959
01026,92250,1947
01027,74146,1966
01028,106424,1966
01029,107679,1966
01030,93815,1971
01031,60517,1938
01032,97500,1951
01033,119297,1966
01034,91016,1975
01035,119259,1971
01036,104536,1966
01037,74722,1981
01038,106635,1962
01039,116429,1970
01040,53605,1950
01050,95882,1963
01053,92582,1973
01054,104688,1973
01056,84838,1964
01057,98508,1971
01060,76848,1942
01062,87588,1962
01063,91344,1938
01066,-666666666,-666666666
01068,102000,1979
01069,80190,1969
01070,60536,1967
01071,111042,1968
01072,111667,1980
01073,123125,1983
01074,79583,1972
01075,93910,1961
01077,120462,1978
01079,70588,1944
01080,89063,1955
01081,86979,1983
01082,69018,1962
01083,64032,1977
01084,93125,1973
01085,88728,1965
01088,85368,1973
01089,69371,1958
01092,68614,1938
01093,110909,1958
01094,-666666666,1978
01095,122330,1966
01096,104375,1972
01097,-666666666,1938
01098,96250,1959
01103,21355,1938
01104,50154,1949
01105,24036,1938
01106,147935,1957
01107,35632,1943
01108,50661,1938
01109,48415,1943
01118,80250,1956
01119,57857,1959
01128,100313,1971
01129,97162,1971
01144,-666666666,-666666666
01151,55324,1954
01201,71093,1951
01220,58929,1938
01222,71042,1974
01223,86818,1977
01224,76222,1975
01225,69803,1964
01226,79438,1957
01229,-666666666,1946
01230,86694,1970
01235,79327,1971
01236,111250,1938
01237,90898,1983
01238,84591,1960
01240,107826,1968
01242,-666666666,-666666666
01243,91250,1938
01244,75833,1960
01245,136875,1973
01247,52330,1938
01253,116806,1982
01254,125893,1974
01255,91111,1978
01256,61328,1982
01257,102788,1977
01258,142500,1967
01259,158125,1984
01260,-666666666,1938
01262,145750,1959
01264,93750,1961
01266,100417,1971
01267,106375,1961
01270,116375,1973
01301,56176,1947
01330,83493,1964
01331,72181,1957
01337,85045,1973
01338,50521,1938
01339,68365,1967
01340,78804,1967
01341,97417,1976
01342,109205,1973
01343,69375,1984
01344,77656,1957
01346,113650,1988
01347,72467,1962
01349,75033,1938
01350,-666666666,1938
01351,98229,1973
01354,90208,1968
01355,82713,1969
01360,103375,1962
01364,55532,1967
01366,110750,1962
01367,72813,1959
01368,102500,1979
01370,81008,1950
01373,106413,1972
01375,68083,1979
01376,55652,1947
01378,93333,1974
01379,59583,1982
01380,73472,1952
01420,72780,1950
01430,118683,1981
01431,115598,1970
01432,101966,1977
01434,162143,1941
01436,77721,1941
01438,-666666666,1938
01440,67440,1954
01450,193292,1988
01451,214792,1975
01452,123500,1986
01453,84296,1967
01460,149722,1977
01462,112992,1972
01463,123911,1981
01464,122365,1984
01468,113427,1991
01469,103801,1977
01473,106331,1977
01474,136371,1967
01475,76552,1981
01501,116762,1963
01503,121336,1992
01504,94191,1967
01505,140962,1977
01506,81250,1982
01507,117587,1985
01510,89781,1956
01515,81042,1968
01516,153172,1986
01518,136111,1989
01519,178263,1985
01520,148125,1968
01521,91979,1972
01522,100625,1982
01523,134833,1973
01524,102099,1970
01525,-666666666,-666666666
01527,118790,1965
01529,127188,1974
01531,99500,1987
01532,153199,1980
01534,141250,1985
01535,79285,1953
01536,115938,1969
01537,102956,1983
01540,110579,1968
01541,158750,1975
01542,96111,1969
01543,145707,1990
01545,139302,1979
01550,66287,1956
01560,107031,1979
01561,-666666666,-666666666
01562,80533,1968
01564,129063,1980
01566,137730,1979
01568,160417,1982
01569,124222,1977
01570,72895,1962
01571,84604,1967
01581,141944,1976
01583,106094,1966
01585,87857,1973
01588,92486,1963
01590,147015,1982
01602,91764,1951
01603,66049,1942
01604,73505,1957
01605,54642,1957
01606,92105,1954
01607,78727,1945
01608,45687,1973
01609,68381,1949
01610,51472,1938
01611,109868,1951
01612,134083,1967
01701,137094,1963
01702,82496,1970
01718,104167,1975
01719,144611,1989
01720,159010,1974
01721,127539,1984
01730,172400,1976
01731,104688,1974
01740,205449,1988
01741,250001,1976
01742,195125,1969
01745,185994,1954
01746,159817,1966
01747,115722,1959
01748,222801,1990
01749,103400,1970
01752,91968,1974
01754,124067,1963
01756,132256,1985
01757,96621,1971
01760,138563,1968
01770,250001,1968
01772,201568,1982
01773,209327,1971
01775,185809,1974
01776,236509,1976
01778,219375,1963
01801,111185,1968
01803,146436,1972
01810,172606,1973
01821,149042,1972
01824,140050,1967
01826,114196,1975
01827,208512,1987
01830,78571,1953
01832,83041,1971
01833,153750,1974
01834,141487,1983
01835,113578,1975
01840,42211,1955
01841,56971,1943
01843,67585,1954
01844,113212,1968
01845,140670,1979
01850,69780,1938
01851,92401,1941
01852,80906,1956
01854,72709,1967
01860,123054,1982
01862,138571,1977
01863,144875,1971
01864,147768,1975
01867,165912,1960
01876,130204,1981
