period,stateDescription,price
2024-12,California,30.62
2024-11,California,30.18
2024-10,California,32.45
2024-09,California,31.83
2024-08,California,31.22
2024-07,California,32.73
2024-06,California,33.24
2024-05,California,34.55
2024-04,California,34.49
2024-03,California,32.46
2024-02,California,31.41
2024-01,California,29.62
2023-12,California,29.12
2023-11,California,29.54
2023-10,California,31.78
2023-09,California,30.01
2023-08,California,29.97
2023-07,California,29.46
2023-06,California,31.24
2023-05,California,29.82
2023-04,California,29.7
2023-03,California,30.39
2023-02,California,27.25
2023-01,California,26.47
