Field,Value
Title,Low-Income Home Energy Assistance Program (LIHEAP) Household Report
URL,low-income-home-energy-assistance-program-liheap-household-report
Description,"## About this Dataset

The dataset provides information about households served by the California Department of Community Services and Development (CSD) Low-Income Home Energy Assistance Program (LIHEAP). LIHEAP is a federal program that helps eligible low-income households manage and meet their immediate home heating and/or cooling needs.

## LIHEAP Income Eligibility

Please contact your local energy agency to determine your eligibility. ​Eligibility for services may vary depending on sources of income and other factors. Please see the CSD website for an income eligibility table:
[https://www.csd.ca.gov/Pages/LIHEAP-Income-Eligibility.aspx](https://www.csd.ca.gov/Pages/LIHEAP-Income-Eligibility.aspx ""CSD LIHEAP Income Eligibility Table"")

## Additional Information
Additional information and a detailed description of program services is available at the CSD LIHEAP webpage: [https://www.csd.ca.gov/energybills](https://www.csd.ca.gov/energybills""CSD ​Get to Know LIHEAP webpage"")"
Tags,"California Department of Community Services Development,Emergency Heating and Cooling Assistance,Home Energy Assistance,Poverty,Utility Assistance,Weatherization"
License,cc-by
Topics,Health and Human Services
Organization,California Department of Community Services & Development
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,Low-Income Home Energy Assistance Program (LIHEAP)
Program Contact Email,opendata@csd.ca.gov
Author,
Homepage URL,
Frequency,Annual
Temporal Coverage,Ongoing Starting in 2024
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,http://www.csd.ca.gov/
Additional Information,
Related Resources,
Secondary Sources,
Citation,
